T,latent_size,std,classifier,accuracy,Classification_weighted_avg_precision,Classification_weighted_avg_recall,Classification_weighted_avg_f1,Classification_weighted_avg_support,generation_time,conformal_coverage,conformal_avg_set_size
400,10,1.5,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.8603,0,0
400,10,1.5,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.966,0.97,0.97,0.97,500,1.0135,0.912,0.93
400,10,1.5,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.0937,0,0
400,10,1.5,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.866,0.88,0.87,0.87,500,1.1398,0.84,0.94
400,10,1.5,KernelPCA-sigmoid(coef0=0) [Logistic],0.544,0.73,0.54,0.53,500,1.0948,0.226,0.23
400,10,1.5,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.0898,0,0
400,10,2,PCA [Logistic],0.542,0.6,0.54,0.55,500,0.866,0.484,0.77
400,10,2,KernelPCA-rbf(gamma=0.002) [Logistic],0.752,0.84,0.75,0.76,500,1.0171,0.484,0.52
400,10,2,KernelPCA-rbf(gamma=0.003) [Logistic],0.766,0.84,0.77,0.77,500,1.0364,0.518,0.54
400,10,2,KernelPCA-rbf(gamma=0.005) [Logistic],0.682,0.81,0.68,0.7,500,0.9583,0.374,0.39
400,10,2,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.3466,0,0
400,10,2,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.91,0.92,0.91,0.91,500,1.3265,0.82,0.86
400,10,2,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.1456,0,0
400,10,2,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.786,0.8,0.79,0.78,500,1.106,0.754,0.9
400,10,2,KernelPCA-sigmoid(coef0=0) [Logistic],0.516,0.72,0.52,0.51,500,0.9867,0.232,0.24
