PROCONSUL_Gene
CCND1
STAT3
CDK2
TGFB1
CTS
BRCA1
KEAP1
JUP
EGFR
PTEN
TP53
ARNT
FLCN
AHNAK
PBRM1
MAP2K1
EWSR1
MTOR
NR3C1
VHL
