Gene
VHL
PBRM1
FLCN
TFE3
MET
ERBB2
BAP1
TP53
MTOR
PTEN
IL2
SDHB
EPAS1
IL6
TNF
STAT3
HNF1A
GSTT1
GSTM1
TSC1
PIK3CA
OGG1
CCND1
BIRC5
FLT1
CA9
FAS
TGFB1
CTLA4
FHIT
ADIPOQ
TGM2
MITF
GJB1
ALK
GSTP1
TNFSF10
ABCG2
EGLN3
CSF1R
HAVCR2
CDH1
XRCC1
RNF139
BCL2
PDGFRB
CYP1A1
KRT7
SETD2
IL4R
PAK1
RELA
PTGS2
APC
HNF1B
CDKN2A
MAPK1
RASSF1
ABCB1
KIT
KEAP1
IL6R
BSG
HLA-DRB1
ARNT
LTF
MMP1
CDK2
TNFRSF10A
TP73
PSMB9
MAP2K1
EGLN2
THRB
FTO
COMT
MMP3
PRCC
BIRC7
DAPK1
ALOX5
PVALB
ACY1
ELOC
KDM5C
CTSD
IL13
L1CAM
CTSB
POMC
HSPB1
SLC2A1
SOD2
BTG3
APAF1
SFRP2
NDRG1
ANXA4
NF2
NR3C1
GHRH
JUP
MTHFR
THRA
HSPD1
SCARB1
MANF
WIF1
AKT3
SLC49A4
EGLN1
ATP5MC2
CRABP1
ACHE
CRYAB
ALDH1A1
KRT8
PRAME
UNC5C
CASP2
PEBP1
C4A
C4B
SPTBN4
KDM4C
IL1RN
CSMD3
CPQ
LRRK2
PDXDC1
YIPF3
HSPA9
PGK1
TET2
LMAN2L
FPGT
INPP4B
SLC5A3
MLLT10
CRADD
NLRP12
CUL7
AKAP13
SYNE2
HARS1
PIDD1
AP5M1
LDHB
FMN2
NAV3
RPL14
EEF2
PNKD
VMO1
CNN2
ALOX12B
MSGN1
APRT
AHNAK
ZNF804A
ZNF536
M6PR
SHANK1
LRP1B
RYR1
CAPG
TAGLN2
CARD11
ASB15
DNHD1
ALAD
OR4C13
GRB7
KCNMA1
KRT32
MUC4
PDHB
BCHE
HOXB13
